Date, Race, Poll, Results, Votes, Spread
Wednesday April 25,Direction of Country,Economist/YouGov,Wrong,Track,54,Wrong Track +18
Wednesday April 25,Direction of Country,Reuters/Ipsos,Right,Direction,31,Wrong Track +25
Wednesday April 25,Direction of Country,Reuters/Ipsos,Wrong,Track,56,Wrong Track +25
Tuesday April 24,West Virginia Senate - Republican Primary,FOX News,Jenkins,25,Jenkins +4
Tuesday April 24,West Virginia Senate - Republican Primary,FOX News,Morrisey,21,Jenkins +4
Tuesday April 24,West Virginia Senate - Republican Primary,FOX News,Blankenship,16,Jenkins +4
Tuesday April 24,New Hampshire Governor - Sununu vs. Marchand,UNH*,Sununu,49,Sununu +22
Tuesday April 24,New Hampshire Governor - Sununu vs. Marchand,UNH*,Marchand,27,Sununu +22
Tuesday April 24,Maryland Governor - Hogan vs. Baker,Goucher College,Hogan,44,Hogan +13
Tuesday April 24,Maryland Governor - Hogan vs. Baker,Goucher College,Baker,31,Hogan +13
Tuesday April 24,Maryland Governor - Hogan vs. Jealous,Goucher College,Hogan,44,Hogan +13
Tuesday April 24,Maryland Governor - Hogan vs. Jealous,Goucher College,Jealous,31,Hogan +13
Tuesday April 24,Maryland Governor - Hogan vs. Kamenetz,Goucher College,Hogan,45,Hogan +17
Tuesday April 24,Maryland Governor - Hogan vs. Kamenetz,Goucher College,Kamenetz,28,Hogan +17
Monday April 23,Arizona 8th District Special Election - Lesko vs. Tipirneni,Emerson,Lesko,49,Lesko +6
Monday April 23,Arizona 8th District Special Election - Lesko vs. Tipirneni,Emerson,Tipirneni,43,Lesko +6
Monday April 23,President Trump Job Approval,Gallup,Approve,38,Disapprove +19
Monday April 23,President Trump Job Approval,Gallup,Disapprove,57,Disapprove +19
Monday April 23,Direction of Country,Rasmussen Reports,Right,Direction,40,Wrong Track +14
Monday April 23,Direction of Country,Rasmussen Reports,Wrong,Track,54,Wrong Track +14
Sunday April 22,Arkansas Governor - Republican Primary,Talk Business/Hendrix College,Hutchinson,58,Hutchinson +27
Sunday April 22,Arkansas Governor - Republican Primary,Talk Business/Hendrix College,Morgan,31,Hutchinson +27
Saturday April 21,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,McCaskill,48,McCaskill +4
Saturday April 21,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,Hawley,44,McCaskill +4
Thursday April 19,Arizona Senate - McSally vs. Sinema,ABC 15/OH Predictive Insights,Sinema,48,Sinema +6
Thursday April 19,Arizona Senate - McSally vs. Sinema,ABC 15/OH Predictive Insights,McSally,42,Sinema +6
Thursday April 19,Arizona Senate - Ward vs. Sinema,ABC 15/OH Predictive Insights,Sinema,50,Sinema +10
Thursday April 19,Arizona Senate - Ward vs. Sinema,ABC 15/OH Predictive Insights,Ward,40,Sinema +10
Thursday April 19,Arizona Senate - Arpaio vs. Sinema,ABC 15/OH Predictive Insights,Sinema,59,Sinema +26
Thursday April 19,Arizona Senate - Arpaio vs. Sinema,ABC 15/OH Predictive Insights,Arpaio,33,Sinema +26
Thursday April 19,Arizona Senate - Republican Primary,ABC 15/OH Predictive Insights,McSally,27,Ward +9
Thursday April 19,Arizona Senate - Republican Primary,ABC 15/OH Predictive Insights,Ward,36,Ward +9
Thursday April 19,Arizona Senate - Republican Primary,ABC 15/OH Predictive Insights,Arpaio,22,Ward +9
Thursday April 19,Georgia Governor - Democratic Primary,Atlanta Journal-Constitution,Abrams,33,Abrams +18
Thursday April 19,Georgia Governor - Democratic Primary,Atlanta Journal-Constitution,Evans,15,Abrams +18
Thursday April 19,Congressional Job Approval,Gallup,Approve,18,Disapprove +60
Thursday April 19,Congressional Job Approval,Gallup,Disapprove,78,Disapprove +60
Wednesday April 18,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,Cruz,47,Cruz +3
Wednesday April 18,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,O'Rourke,44,Cruz +3
Wednesday April 18,Indiana Senate - Republican Primary,Gravis,Braun,26,Braun +10
Wednesday April 18,Indiana Senate - Republican Primary,Gravis,Rokita,16,Braun +10
Wednesday April 18,Indiana Senate - Republican Primary,Gravis,Messer,13,Braun +10
Wednesday April 18,Texas Governor - Abbott vs. Valdez,Quinnipiac,Abbott,49,Abbott +9
Wednesday April 18,Texas Governor - Abbott vs. Valdez,Quinnipiac,Valdez,40,Abbott +9
Wednesday April 18,Texas Governor - Abbott vs. White,Quinnipiac,Abbott,48,Abbott +7
Wednesday April 18,Texas Governor - Abbott vs. White,Quinnipiac,White,41,Abbott +7
Wednesday April 18,President Trump Job Approval,NPR/PBS/Marist,Approve,39,Disapprove +15
Wednesday April 18,President Trump Job Approval,NPR/PBS/Marist,Disapprove,54,Disapprove +15
Wednesday April 18,President Trump Job Approval,Reuters/Ipsos,Approve,41,Disapprove +15
Wednesday April 18,President Trump Job Approval,Reuters/Ipsos,Disapprove,56,Disapprove +15
Wednesday April 18,President Trump Job Approval,Economist/YouGov,Approve,42,Disapprove +13
Wednesday April 18,President Trump Job Approval,Economist/YouGov,Disapprove,55,Disapprove +13
Wednesday April 18,2018 Generic Congressional Vote,Economist/YouGov,Democrats,43,Democrats +5
Wednesday April 18,2018 Generic Congressional Vote,Economist/YouGov,Republicans,38,Democrats +5
Wednesday April 18,2018 Generic Congressional Vote,NPR/PBS/Marist,Democrats,44,Democrats +5
Wednesday April 18,2018 Generic Congressional Vote,NPR/PBS/Marist,Republicans,39,Democrats +5
Wednesday April 18,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,44,Democrats +10
Wednesday April 18,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,34,Democrats +10
Wednesday April 18,Congressional Job Approval,Reuters/Ipsos,Approve,19,Disapprove +56
Wednesday April 18,Congressional Job Approval,Reuters/Ipsos,Disapprove,75,Disapprove +56
Wednesday April 18,Congressional Job Approval,Economist/YouGov,Approve,11,Disapprove +56
Wednesday April 18,Congressional Job Approval,Economist/YouGov,Disapprove,67,Disapprove +56
Wednesday April 18,Direction of Country,Economist/YouGov,Right,Direction,34,Wrong Track +22
Wednesday April 18,Direction of Country,Economist/YouGov,Wrong,Track,56,Wrong Track +22
Wednesday April 18,Direction of Country,Reuters/Ipsos,Right,Direction,33,Wrong Track +26
Wednesday April 18,Direction of Country,Reuters/Ipsos,Wrong,Track,59,Wrong Track +26
Wednesday April 18,Direction of Country,NPR/PBS/Marist,Right,Direction,37,Wrong Track +20
Wednesday April 18,Direction of Country,NPR/PBS/Marist,Wrong,Track,57,Wrong Track +20
Tuesday April 17,Arizona Senate - Republican Primary,Magellan (R),McSally,36,McSally +10
Tuesday April 17,Arizona Senate - Republican Primary,Magellan (R),Ward,25,McSally +10
Tuesday April 17,Arizona Senate - Republican Primary,Magellan (R),Arpaio,26,McSally +10
Tuesday April 17,New York Senate - Farley vs. Gillibrand,Siena,Gillibrand,58,Gillibrand +31
Tuesday April 17,New York Senate - Farley vs. Gillibrand,Siena,Farley,27,Gillibrand +31
Tuesday April 17,New York Governor - DeFrancisco vs. Cuomo,Siena,Cuomo,56,Cuomo +24
Tuesday April 17,New York Governor - DeFrancisco vs. Cuomo,Siena,DeFrancisco,32,Cuomo +24
Tuesday April 17,New York Governor - Molinaro vs. Cuomo,Siena,Cuomo,57,Cuomo +26
Tuesday April 17,New York Governor - Molinaro vs. Cuomo,Siena,Molinaro,31,Cuomo +26
Tuesday April 17,New York Governor - Democratic Primary,Siena,Cuomo,58,Cuomo +31
Tuesday April 17,New York Governor - Democratic Primary,Siena,Nixon,27,Cuomo +31
Tuesday April 17,New York Governor - Republican Primary,Siena,DeFrancisco,18,Tie
Tuesday April 17,New York Governor - Republican Primary,Siena,Molinaro,18,Tie
Monday April 16,Arizona 8th District Special Election - Lesko vs. Tipirneni,Emerson,Lesko,45,Tipirneni +1
Monday April 16,Arizona 8th District Special Election - Lesko vs. Tipirneni,Emerson,Tipirneni,46,Tipirneni +1
Monday April 16,President Trump Job Approval,Gallup,Approve,39,Disapprove +16
Monday April 16,President Trump Job Approval,Gallup,Disapprove,55,Disapprove +16
Monday April 16,2018 Generic Congressional Vote,ABC News/Wash Post,Democrats,47,Democrats +4
Monday April 16,2018 Generic Congressional Vote,ABC News/Wash Post,Republicans,43,Democrats +4
Monday April 16,Direction of Country,Rasmussen Reports,Right,Direction,40,Wrong Track +14
Monday April 16,Direction of Country,Rasmussen Reports,Wrong,Track,54,Wrong Track +14
Sunday April 15,President Trump Job Approval,ABC News/Wash Post,Approve,44,Disapprove +10
Sunday April 15,President Trump Job Approval,ABC News/Wash Post,Disapprove,54,Disapprove +10
Sunday April 15,President Trump Job Approval,NBC News/Wall St. Jrnl,Approve,39,Disapprove +18
Sunday April 15,President Trump Job Approval,NBC News/Wall St. Jrnl,Disapprove,57,Disapprove +18
Sunday April 15,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,Democrats,47,Democrats +7
Sunday April 15,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,Republicans,40,Democrats +7
Sunday April 15,Direction of Country,NBC News/Wall St. Jrnl,Right,Direction,31,Wrong Track +31
Sunday April 15,Direction of Country,NBC News/Wall St. Jrnl,Wrong,Track,62,Wrong Track +31
Friday April 13,Pennsylvania Senate - Barletta vs. Casey,Morning Call,Casey,48,Casey +16
Friday April 13,Pennsylvania Senate - Barletta vs. Casey,Morning Call,Barletta,32,Casey +16
Friday April 13,Pennsylvania Senate - Christiana vs. Casey,Morning Call,Casey,48,Casey +19
Friday April 13,Pennsylvania Senate - Christiana vs. Casey,Morning Call,Christiana,29,Casey +19
Friday April 13,Pennsylvania Governor - Wagner vs. Wolf,Morning Call,Wolf,47,Wolf +16
Friday April 13,Pennsylvania Governor - Wagner vs. Wolf,Morning Call,Wagner,31,Wolf +16
Friday April 13,Pennsylvania Governor - Ellsworth vs. Wolf,Morning Call,Wolf,46,Wolf +20
Friday April 13,Pennsylvania Governor - Ellsworth vs. Wolf,Morning Call,Ellsworth,26,Wolf +20
Friday April 13,Pennsylvania Governor - Mango vs. Wolf,Morning Call,Wolf,47,Wolf +20
Friday April 13,Pennsylvania Governor - Mango vs. Wolf,Morning Call,Mango,27,Wolf +20
Friday April 13,Arkansas Governor - Hutchinson vs. Henderson,Mason-Dixon,Hutchinson,63,Hutchinson +39
Friday April 13,Arkansas Governor - Hutchinson vs. Henderson,Mason-Dixon,Henderson,24,Hutchinson +39
Thursday April 12,Missouri Senate - Hawley vs. McCaskill,Mason-Dixon,McCaskill,45,McCaskill +1
Thursday April 12,Missouri Senate - Hawley vs. McCaskill,Mason-Dixon,Hawley,44,McCaskill +1
Thursday April 12,New Jersey Senate - Hugin vs. Menendez,Monmouth,Menendez,53,Menendez +21
Thursday April 12,New Jersey Senate - Hugin vs. Menendez,Monmouth,Hugin,32,Menendez +21
Thursday April 12,Arizona 8th District Special Election - Lesko vs. Tipirneni,OH Predictive Insights,Lesko,53,Lesko +10
Thursday April 12,Arizona 8th District Special Election - Lesko vs. Tipirneni,OH Predictive Insights,Tipirneni,43,Lesko +10
Wednesday April 11,President Trump Job Approval,Economist/YouGov,Approve,42,Disapprove +11
Wednesday April 11,President Trump Job Approval,Economist/YouGov,Disapprove,53,Disapprove +11
Wednesday April 11,President Trump Job Approval,Reuters/Ipsos,Approve,39,Disapprove +19
Wednesday April 11,President Trump Job Approval,Reuters/Ipsos,Disapprove,58,Disapprove +19
Wednesday April 11,2018 Generic Congressional Vote,Rasmussen Reports,Democrats,45,Democrats +5
Wednesday April 11,2018 Generic Congressional Vote,Rasmussen Reports,Republicans,40,Democrats +5
Wednesday April 11,2018 Generic Congressional Vote,Quinnipiac,Democrats,46,Democrats +3
Wednesday April 11,2018 Generic Congressional Vote,Quinnipiac,Republicans,43,Democrats +3
Wednesday April 11,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,44,Democrats +10
Wednesday April 11,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,34,Democrats +10
Wednesday April 11,2018 Generic Congressional Vote,Economist/YouGov,Democrats,44,Democrats +8
Wednesday April 11,2018 Generic Congressional Vote,Economist/YouGov,Republicans,36,Democrats +8
Wednesday April 11,Congressional Job Approval,Economist/YouGov,Approve,8,Disapprove +66
Wednesday April 11,Congressional Job Approval,Economist/YouGov,Disapprove,74,Disapprove +66
Wednesday April 11,Congressional Job Approval,Quinnipiac,Approve,12,Disapprove +69
Wednesday April 11,Congressional Job Approval,Quinnipiac,Disapprove,81,Disapprove +69
Wednesday April 11,Congressional Job Approval,Reuters/Ipsos,Approve,19,Disapprove +53
Wednesday April 11,Congressional Job Approval,Reuters/Ipsos,Disapprove,72,Disapprove +53
Wednesday April 11,Direction of Country,Reuters/Ipsos,Right,Direction,29,Wrong Track +32
Wednesday April 11,Direction of Country,Reuters/Ipsos,Wrong,Track,61,Wrong Track +32
Wednesday April 11,Direction of Country,Economist/YouGov,Right,Direction,35,Wrong Track +21
Wednesday April 11,Direction of Country,Economist/YouGov,Wrong,Track,56,Wrong Track +21
Tuesday April 10,President Trump Job Approval,Quinnipiac,Approve,41,Disapprove +11
Tuesday April 10,President Trump Job Approval,Quinnipiac,Disapprove,52,Disapprove +11
Monday April 9,President Trump Job Approval,Gallup,Approve,41,Disapprove +13
Monday April 9,President Trump Job Approval,Gallup,Disapprove,54,Disapprove +13
Monday April 9,Direction of Country,Rasmussen Reports,Right,Direction,40,Wrong Track +14
Monday April 9,Direction of Country,Rasmussen Reports,Wrong,Track,54,Wrong Track +14
Sunday April 8,South Carolina Governor - Republican Primary,Target Insyght,McMaster,46,McMaster +24
Sunday April 8,South Carolina Governor - Republican Primary,Target Insyght,Templeton,22,McMaster +24
Sunday April 8,South Carolina Governor - Republican Primary,Target Insyght,Bryant,6,McMaster +24
Sunday April 8,South Carolina Governor - Republican Primary,Target Insyght,McGill,4,McMaster +24
Sunday April 8,South Carolina Governor - Republican Primary,Target Insyght,Warren,1,McMaster +24
Sunday April 8,South Carolina Governor - Democratic Primary,Target Insyght,Noble,27,Tie
Sunday April 8,South Carolina Governor - Democratic Primary,Target Insyght,Smith,27,Tie
Sunday April 8,South Carolina Governor - Democratic Primary,Target Insyght,Willis,21,Tie
Sunday April 8,Michigan 8th District - Bishop vs. Slotkin,Target Insyght,Bishop,45,Bishop +6
Sunday April 8,Michigan 8th District - Bishop vs. Slotkin,Target Insyght,Slotkin,39,Bishop +6
Thursday April 5,Tennessee Senate - Blackburn vs. Bredesen,Middle Tn. State Univ.,Bredesen,45,Bredesen +10
Thursday April 5,Tennessee Senate - Blackburn vs. Bredesen,Middle Tn. State Univ.,Blackburn,35,Bredesen +10
Wednesday April 4,President Trump Job Approval,Reuters/Ipsos,Approve,41,Disapprove +15
Wednesday April 4,President Trump Job Approval,Reuters/Ipsos,Disapprove,56,Disapprove +15
Wednesday April 4,President Trump Job Approval,Economist/YouGov,Approve,41,Disapprove +14
Wednesday April 4,President Trump Job Approval,Economist/YouGov,Disapprove,55,Disapprove +14
Wednesday April 4,2018 Generic Congressional Vote,Economist/YouGov,Democrats,43,Democrats +7
Wednesday April 4,2018 Generic Congressional Vote,Economist/YouGov,Republicans,36,Democrats +7
Wednesday April 4,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,43,Democrats +9
Wednesday April 4,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,34,Democrats +9
Wednesday April 4,Congressional Job Approval,Reuters/Ipsos,Approve,20,Disapprove +49
Wednesday April 4,Congressional Job Approval,Reuters/Ipsos,Disapprove,69,Disapprove +49
Wednesday April 4,Congressional Job Approval,Economist/YouGov,Approve,11,Disapprove +59
Wednesday April 4,Congressional Job Approval,Economist/YouGov,Disapprove,70,Disapprove +59
Wednesday April 4,Direction of Country,Economist/YouGov,Right,Direction,35,Wrong Track +20
Wednesday April 4,Direction of Country,Economist/YouGov,Wrong,Track,55,Wrong Track +20
Wednesday April 4,Direction of Country,Reuters/Ipsos,Right,Direction,34,Wrong Track +23
Wednesday April 4,Direction of Country,Reuters/Ipsos,Wrong,Track,57,Wrong Track +23
Monday April 2,President Trump Job Approval,Harvard-Harris,Approve,44,Disapprove +12
Monday April 2,President Trump Job Approval,Harvard-Harris,Disapprove,56,Disapprove +12
Monday April 2,President Trump Job Approval,IBD/TIPP,Approve,38,Disapprove +18
Monday April 2,President Trump Job Approval,IBD/TIPP,Disapprove,56,Disapprove +18
Monday April 2,President Trump Job Approval,Gallup,Approve,39,Disapprove +16
Monday April 2,President Trump Job Approval,Gallup,Disapprove,55,Disapprove +16
Monday April 2,2018 Generic Congressional Vote,Harvard-Harris,Democrats,45,Democrats +11
Monday April 2,2018 Generic Congressional Vote,Harvard-Harris,Republicans,34,Democrats +11
Monday April 2,Direction of Country,IBD/TIPP,Right,Direction,43,Wrong Track +12
Monday April 2,Direction of Country,IBD/TIPP,Wrong,Track,55,Wrong Track +12
Monday April 2,Direction of Country,Rasmussen Reports,Right,Direction,38,Wrong Track +17
Monday April 2,Direction of Country,Rasmussen Reports,Wrong,Track,55,Wrong Track +17
Monday April 2,Direction of Country,Harvard-Harris,Right,Direction,37,Wrong Track +16
Monday April 2,Direction of Country,Harvard-Harris,Wrong,Track,53,Wrong Track +16
Thursday March 29,Pennsylvania Senate - Barletta vs. Casey,Franklin & Marshall,Casey,43,Casey +18
Thursday March 29,Pennsylvania Senate - Barletta vs. Casey,Franklin & Marshall,Barletta,25,Casey +18
Thursday March 29,President Trump Job Approval,Reuters/Ipsos,Approve,41,Disapprove +14
Thursday March 29,President Trump Job Approval,Reuters/Ipsos,Disapprove,55,Disapprove +14
Thursday March 29,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,42,Democrats +7
Thursday March 29,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,35,Democrats +7
Thursday March 29,2018 Generic Congressional Vote,CNN,Democrats,50,Democrats +6
Thursday March 29,2018 Generic Congressional Vote,CNN,Republicans,44,Democrats +6
Thursday March 29,Congressional Job Approval,Reuters/Ipsos,Approve,20,Disapprove +53
Thursday March 29,Congressional Job Approval,Reuters/Ipsos,Disapprove,73,Disapprove +53
Thursday March 29,Direction of Country,Reuters/Ipsos,Right,Direction,30,Wrong Track +29
Thursday March 29,Direction of Country,Reuters/Ipsos,Wrong,Track,59,Wrong Track +29
Thursday March 29,Pennsylvania Governor - Ellsworth vs. Wolf,Franklin & Marshall,Wolf,51,Wolf +29
Thursday March 29,Pennsylvania Governor - Ellsworth vs. Wolf,Franklin & Marshall,Ellsworth,22,Wolf +29
Thursday March 29,Pennsylvania Governor - Mango vs. Wolf,Franklin & Marshall,Wolf,49,Wolf +27
Thursday March 29,Pennsylvania Governor - Mango vs. Wolf,Franklin & Marshall,Mango,22,Wolf +27
Thursday March 29,Pennsylvania Governor - Wagner vs. Wolf,Franklin & Marshall,Wolf,38,Wolf +17
Thursday March 29,Pennsylvania Governor - Wagner vs. Wolf,Franklin & Marshall,Wagner,21,Wolf +17
Wednesday March 28,President Trump Job Approval,Economist/YouGov,Approve,41,Disapprove +13
Wednesday March 28,President Trump Job Approval,Economist/YouGov,Disapprove,54,Disapprove +13
Wednesday March 28,2018 Generic Congressional Vote,Economist/YouGov,Democrats,42,Democrats +7
Wednesday March 28,2018 Generic Congressional Vote,Economist/YouGov,Republicans,35,Democrats +7
Wednesday March 28,Congressional Job Approval,Economist/YouGov,Approve,8,Disapprove +66
Wednesday March 28,Congressional Job Approval,Economist/YouGov,Disapprove,74,Disapprove +66
Wednesday March 28,Direction of Country,Economist/YouGov,Right,Direction,34,Wrong Track +23
Wednesday March 28,Direction of Country,Economist/YouGov,Wrong,Track,57,Wrong Track +23
Tuesday March 27,President Trump Job Approval,CNBC,Approve,39,Disapprove +11
Tuesday March 27,President Trump Job Approval,CNBC,Disapprove,50,Disapprove +11
Tuesday March 27,President Trump Job Approval,PPP (D),Approve,39,Disapprove +15
Tuesday March 27,President Trump Job Approval,PPP (D),Disapprove,54,Disapprove +15
Tuesday March 27,2018 Generic Congressional Vote,PPP (D),Democrats,50,Democrats +11
Tuesday March 27,2018 Generic Congressional Vote,PPP (D),Republicans,39,Democrats +11
Tuesday March 27,Congressional Job Approval,PPP (D),Approve,10,Disapprove +63
Tuesday March 27,Congressional Job Approval,PPP (D),Disapprove,73,Disapprove +63
Tuesday March 27,California Senate - Open Primary,SurveyUSA,Feinstein,31,Feinstein +24
Tuesday March 27,California Senate - Open Primary,SurveyUSA,Schrader,7,Feinstein +24
Tuesday March 27,California Senate - Open Primary,SurveyUSA,de,Leon,5,Feinstein +24
Tuesday March 27,California Senate - Open Primary,SurveyUSA,Kalemkarian,5,Feinstein +24
Tuesday March 27,California Senate - Open Primary,SurveyUSA,Little,5,Feinstein +24
Tuesday March 27,California Senate - Open Primary,SurveyUSA,Melendez,5,Feinstein +24
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Newsom,22,Newsom +8
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Villaraigosa,14,Newsom +8
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Cox,11,Newsom +8
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Chiang,9,Newsom +8
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Allen,7,Newsom +8
Tuesday March 27,California Governor - Open Primary,SurveyUSA,Eastin,3,Newsom +8
Monday March 26,President Trump Job Approval,CNN,Approve,43,Disapprove +10
Monday March 26,President Trump Job Approval,CNN,Disapprove,53,Disapprove +10
Monday March 26,President Trump Job Approval,Gallup,Approve,39,Disapprove +16
Monday March 26,President Trump Job Approval,Gallup,Disapprove,55,Disapprove +16
Monday March 26,Direction of Country,Rasmussen Reports,Right,Direction,39,Wrong Track +17
Monday March 26,Direction of Country,Rasmussen Reports,Wrong,Track,56,Wrong Track +17
Sunday March 25,President Trump Job Approval,FOX News,Approve,45,Disapprove +7
Sunday March 25,President Trump Job Approval,FOX News,Disapprove,52,Disapprove +7
Sunday March 25,2018 Generic Congressional Vote,FOX News,Democrats,46,Democrats +5
Sunday March 25,2018 Generic Congressional Vote,FOX News,Republicans,41,Democrats +5
Friday March 23,President Trump Job Approval,Marist,Approve,42,Disapprove +9
Friday March 23,President Trump Job Approval,Marist,Disapprove,51,Disapprove +9
Friday March 23,2018 Generic Congressional Vote,Marist,Democrats,44,Democrats +5
Friday March 23,2018 Generic Congressional Vote,Marist,Republicans,39,Democrats +5
Friday March 23,Direction of Country,Marist,Right,Direction,36,Wrong Track +19
Friday March 23,Direction of Country,Marist,Wrong,Track,55,Wrong Track +19
Thursday March 22,President Trump Job Approval,Reuters/Ipsos,Approve,44,Disapprove +8
Thursday March 22,President Trump Job Approval,Reuters/Ipsos,Disapprove,52,Disapprove +8
Thursday March 22,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,40,Democrats +3
Thursday March 22,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,37,Democrats +3
Thursday March 22,Congressional Job Approval,Reuters/Ipsos,Approve,23,Disapprove +46
Thursday March 22,Congressional Job Approval,Reuters/Ipsos,Disapprove,69,Disapprove +46
Thursday March 22,Direction of Country,Reuters/Ipsos,Right,Direction,34,Wrong Track +22
Thursday March 22,Direction of Country,Reuters/Ipsos,Wrong,Track,56,Wrong Track +22
Thursday March 22,California Governor - Open Primary,PPIC,Newsom,28,Newsom +14
Thursday March 22,California Governor - Open Primary,PPIC,Villaraigosa,12,Newsom +14
Thursday March 22,California Governor - Open Primary,PPIC,Cox,14,Newsom +14
Thursday March 22,California Governor - Open Primary,PPIC,Chiang,6,Newsom +14
Thursday March 22,California Governor - Open Primary,PPIC,Allen,10,Newsom +14
Thursday March 22,California Governor - Open Primary,PPIC,Eastin,5,Newsom +14
Wednesday March 21,President Trump Job Approval,Quinnipiac,Approve,40,Disapprove +13
Wednesday March 21,President Trump Job Approval,Quinnipiac,Disapprove,53,Disapprove +13
Wednesday March 21,President Trump Job Approval,Economist/YouGov,Approve,41,Disapprove +13
Wednesday March 21,President Trump Job Approval,Economist/YouGov,Disapprove,54,Disapprove +13
Wednesday March 21,2018 Generic Congressional Vote,Economist/YouGov,Democrats,44,Democrats +6
Wednesday March 21,2018 Generic Congressional Vote,Economist/YouGov,Republicans,38,Democrats +6
Wednesday March 21,2018 Generic Congressional Vote,Quinnipiac,Democrats,49,Democrats +6
Wednesday March 21,2018 Generic Congressional Vote,Quinnipiac,Republicans,43,Democrats +6
Wednesday March 21,Congressional Job Approval,Economist/YouGov,Approve,11,Disapprove +58
Wednesday March 21,Congressional Job Approval,Economist/YouGov,Disapprove,69,Disapprove +58
