Date, Race, Poll, Results, Votes, Spread
Friday January 5,Missouri Senate - Hawley vs. McCaskill,Remington Research (R),McCaskill,45,Hawley +4
Friday January 5,Missouri Senate - Hawley vs. McCaskill,Remington Research (R),Hawley,49,Hawley +4
Monday December 18,Mississippi Senate - Republican Primary,Mason-Dixon,Wicker,49,Wicker +16
Monday December 18,Mississippi Senate - Republican Primary,Mason-Dixon,McDaniel,33,Wicker +16
Thursday December 14,Tennessee Senate - Blackburn vs. Bredesen,Gravis,Bredesen,42,Bredesen +2
Thursday December 14,Tennessee Senate - Blackburn vs. Bredesen,Gravis,Blackburn,40,Bredesen +2
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,Monmouth,Moore,46,Tie
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,Monmouth,Jones,46,Tie
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,FOX News,Moore,40,Jones +10
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,FOX News,Jones,50,Jones +10
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,Emerson,Moore,53,Moore +9
Monday December 11,Alabama Senate Special Election - Moore vs. Jones,Emerson,Jones,44,Moore +9
Saturday December 9,Alabama Senate Special Election - Moore vs. Jones,Trafalgar Group (R),Moore,51,Moore +5
Saturday December 9,Alabama Senate Special Election - Moore vs. Jones,Trafalgar Group (R),Jones,46,Moore +5
Saturday December 9,Alabama Senate Special Election - Moore vs. Jones,Gravis,Moore,49,Moore +4
Saturday December 9,Alabama Senate Special Election - Moore vs. Jones,Gravis,Jones,45,Moore +4
Tuesday December 5,Alabama Senate Special Election - Moore vs. Jones,WBRC-TV/Strategy Research,Moore,50,Moore +7
Tuesday December 5,Alabama Senate Special Election - Moore vs. Jones,WBRC-TV/Strategy Research,Jones,43,Moore +7
Tuesday December 5,Alabama Senate Special Election - Moore vs. Jones,Gravis,Moore,44,Jones +4
Tuesday December 5,Alabama Senate Special Election - Moore vs. Jones,Gravis,Jones,48,Jones +4
Monday December 4,Alabama Senate Special Election - Moore vs. Jones,Emerson*,Moore,49,Moore +3
Monday December 4,Alabama Senate Special Election - Moore vs. Jones,Emerson*,Jones,46,Moore +3
